eall,t,r,Value_emit,Value_scc,product
CH4,2044,p5p6p9p10p15p16p25p28p29p33p43p46p63p66p70p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p130p131p132p133p134p89p53p101p105p12p18p23p29p34p37p40p41p45p47p54p55p63p65p72p79p81p82p84p85p88p96p97p101p109p116z122p20p23p24p25p26p28p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p90p94p96p97p98p101p103p105p107p108p109p112p115p116p117z122p40p41p43p50p51p55p67p70p72p82p84p111p127p128p1p2p3p4p5p6p9p10p11p12p13p14p15p21p24p25p27p28p29p30p31p33p34p35p36p37p38p39p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117z122p123p125p126p130p131p132p133p134p9p10p11p131p132p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p130p131p132p133p134p9p10p11p12p20p25p28p31p34p36p37p38p40p41p42p43p44p45p46p47p50p51p52p53p54p57p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p111p112p114p118z122p123p124p125p126p131p132p133p134p22p27p71,221371839.828476,3660,810220933772.2222
CH4,2047,p5p6p9p10p15p16p25p28p29p33p43p46p63p66p70p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p130p131p132p133p134p101p105p12p18p23p29p34p37p40p41p45p54p55p63p65p72p79p84p85p88p96p97p101p109p116z122p20p23p24p25p26p28p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p94p96p97p98p101p103p107p108p109p112p115p116p117z122p40p41p43p50p51p55p67p70p72p84p111p127p128p1p2p3p4p5p6p9p10p11p12p13p14p15p21p24p25p27p28p29p30p31p33p34p35p36p37p38p39p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p84p85p86p87p88p89p90p91p92p94p95p96p97p98p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117z122p123p125p126p130p131p132p133p134p9p10p11p131p132p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p77p78p79p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p120z122p123p125p126p130p131p132p133p134p9p10p11p12p25p28p34p36p37p38p40p41p42p43p44p45p46p47p50p51p52p53p54p57p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p84p87p89p91p92p94p95p96p97p98p101p102p103p105p106p107p111p112p114z122p123p125p126p131p132p133p134,227783227.502994,3930,895188084086.7665
CH4,2050,p5p6p9p10p15p16p25p28p33p43p46p63p66p70p75p76p77p78p79p80p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p130p131p132p133p134p42p101p105p12p18p23p29p34p37p40p41p45p54p55p63p65p72p79p84p85p88p96p97p101p109p116z122p20p23p24p25p26p28p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p94p98p101p103p107p108p109p115p116p117z122p40p41p43p50p51p55p67p70p72p84p111p127p128p1p2p3p4p5p6p9p10p11p12p13p14p15p21p24p25p27p28p29p30p31p33p34p35p36p37p38p39p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p84p85p86p87p88p89p90p91p92p94p95p96p97p98p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p120z122p123p125p126p130p131p132p133p134p9p10p11p131p132p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p77p78p79p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p120z122p123p125p126p130p131p132p133p134p9p10p11p25p28p34p36p37p38p40p41p42p43p44p45p46p47p50p51p52p53p54p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p84p92p94p95p96p97p98p101p102p103p105p106p107p111p112p114z122p123p125p126p131p132p133p134p26,237336716.8034,4200,996814210574.28
CO2,2010,p1p3p5p6p8p9p10p14p15p28p29p31p33p43p46p58p74p75p77p80p85p90p92p94p96p98p99p101p102p103p111z122p123p127p129p130p131p132p134p101p105p12p13p18p20p23p28p29p31p34p41p45p54p55p58p63p65p75p79p81p82p85p88p94p96p97p98p99p101p108p109p111p115p121z122p123p2p9p10p12p20p21p23p24p25p26p28p29p31p33p34p35p36p37p38p43p45p46p50p51p52p53p54p56p57p58p63p64p65p67p69p70p72p76p77p79p81p82p83p87p89p90p92p93p94p96p97p98p99p101p103p105p107p108p109p112p114p115p116p117z122p123p125p126p127p130p132p2p5p10p12p13p20p23p24p25p28p31p32p33p34p36p40p41p43p45p46p48p50p51p53p54p55p57p58p60p63p64p65p67p69p70p72p73p74p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p107p108p109p110p111p112p113p114p115p116p117p118p121z122p123p125p126p127p130p131p132p1p2p5p6p9p10p11p12p13p14p15p25p27p28p31p33p34p35p36p40p41p43p44p45p47p48p50p51p53p54p55p56p57p58p59p60p62p63p64p65p66p67p68p70p72p76p78p79p80p81p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p101p102p103p104p105p106p107p111p112p115z122p123p125p126p127p128p130p131p132p133p134p1p3p5p6p8p9p10p11p12p13p14p15p17p22p23p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p127p128p131p132p134p1p9p10p11p12p13p15p20p21p25p28p30p31p32p33p34p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p57p58p59p60p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p77p78p79p80p81p82p83p84p85p86p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p109p110p111p112p113p114p115p116p118z122p123p124p125p126p127p128p129p130p131p132p133p134,2370642729.769188,150,355596409465.3782
CO2,2015,p3p5p6p8p9p10p14p15p16p25p28p29p31p33p43p46p58p63p66p70p74p75p76p77p78p79p80p85p90p92p94p96p97p98p99p101p102p103p111p112z122p123p127p129p130p131p132p134p101p105p107p12p13p18p20p23p28p29p31p34p37p40p41p45p54p55p58p63p65p75p79p81p82p85p88p94p96p97p98p99p101p108p109p116p118p121z122p123p2p12p20p21p23p24p25p26p28p29p31p33p34p35p36p37p38p43p45p46p50p51p52p53p54p56p57p58p63p64p65p67p69p70p72p76p77p79p81p82p83p87p89p90p92p93p94p96p97p98p99p101p103p105p107p108p109p112p114p115p116p117z122p123p125p126p127p130p2p5p12p24p28p31p33p34p36p40p41p43p45p48p50p51p53p54p55p57p58p60p63p64p65p67p70p72p74p75p79p80p81p82p83p84p85p87p89p90p91p92p94p98p99p101p102p103p105p107p108p109p111p112p115p117p123p126p127p130p131p132p1p2p5p6p9p10p11p12p13p14p15p24p25p27p28p31p33p34p35p36p38p40p41p43p44p45p47p48p50p51p53p54p55p56p57p58p59p60p62p63p64p65p66p67p68p70p72p76p78p79p80p81p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p109p111p112p115z122p123p125p126p127p128p130p131p132p133p134p1p3p5p6p8p9p10p11p12p13p14p15p17p18p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p62p63p64p65p66p67p68p69p70p71p72p73p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p127p128p131p132p134p1p9p10p11p12p15p20p21p25p28p30p31p32p33p34p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p57p58p59p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p109p110p111p112p113p114p115p116p118z122p123p124p125p126p127p128p129p130p131p132p133p134,1819701338.612,170,309349227564.04
CO2,2020,p3p5p6p8p9p10p14p15p16p25p28p29p31p33p43p46p58p63p66p70p74p75p76p77p78p79p80p85p92p94p96p97p98p99p101p102p103p111p112z122p123p127p129p130p131p132p133p134p101p105p107p12p18p23p29p34p37p40p41p45p54p55p58p63p65p75p79p81p82p85p88p96p97p99p101p109p116p118p121z122p123p2p12p20p21p23p24p25p26p28p29p31p33p34p35p36p37p38p43p45p46p50p51p52p53p54p56p57p58p63p64p65p67p69p70p72p76p77p79p81p82p83p87p89p90p92p93p94p96p97p98p99p101p103p105p107p108p109p112p114p115p116p117z122p123p125p126p127p130p12p24p36p40p41p43p48p50p51p55p57p58p65p67p70p72p75p80p81p82p84p85p90p92p103p105p107p111p112p123p130p132p1p2p5p6p9p10p11p12p13p14p15p24p25p27p28p31p33p34p35p36p38p40p41p43p45p47p48p50p51p53p54p55p56p57p58p59p60p62p63p64p65p66p67p68p70p72p76p78p79p80p81p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p111p112p114p115z122p123p125p126p127p128p130p131p132p133p134p1p3p5p6p8p9p10p11p12p13p14p15p17p18p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p127p128p131p132p134p1p9p10p11p12p15p20p21p25p28p30p31p32p33p34p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p57p58p59p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p109p110p111p112p113p114p115p116p118z122p123p124p125p126p127p128p129p130p131p132p133p134,1412710419.185814,190,268414979645.30463
CO2,2023,p3p5p6p8p9p10p14p15p16p25p28p29p31p33p43p46p58p63p66p70p74p75p76p77p78p79p80p92p94p96p97p98p99p101p102p103p111p112z122p123p127p129p130p131p132p133p134p101p105p107p12p18p23p29p34p37p40p41p45p54p55p63p65p75p79p81p82p85p88p96p97p99p101p109p116p118p121z122p2p12p20p21p23p24p25p26p28p29p31p33p34p36p37p38p43p45p46p50p51p52p53p54p56p58p63p64p65p67p70p72p76p79p81p83p87p89p90p92p93p94p96p97p98p101p103p105p107p108p109p112p114p115p116p117z122p123p125p126p130p12p24p40p41p43p48p50p51p55p57p58p65p67p70p72p75p82p84p85p90p92p103p107p111p112p123p130p1p2p5p6p9p10p11p12p13p14p15p24p25p27p28p31p33p34p35p36p38p40p41p43p45p47p48p50p51p53p54p55p56p57p58p59p60p62p63p64p65p66p67p68p70p72p76p78p79p80p81p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p111p112p114p115z122p123p125p126p127p128p130p131p132p133p134p1p3p5p6p8p9p10p11p12p13p14p15p17p18p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p127p128p131p132p134p1p9p10p11p12p15p20p21p25p28p30p31p32p33p34p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p57p58p59p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p109p110p111p112p113p114p115p116p118z122p123p124p125p126p127p128p129p130p131p132p133p134,1590142568.803883,202,321208798898.3844
CO2,2026,p3p5p6p8p9p10p14p15p16p25p28p29p31p33p43p46p58p63p66p70p74p75p76p77p78p79p80p92p94p96p97p98p99p101p102p103p111p112p115p117p118p121z122p123p124p125p126p127p129p130p131p132p133p134p101p105p107p12p18p23p29p34p37p40p41p45p54p55p63p65p75p79p81p82p85p88p96p97p101p109p116p121z122p20p21p23p24p25p26p28p29p31p33p34p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p81p83p87p89p90p92p93p94p96p97p98p101p103p105p107p108p109p112p114p115p116p117z122p123p126p130p24p40p41p43p48p50p51p55p57p58p65p67p70p72p75p82p84p85p90p92p107p111p112p123p130p1p2p5p6p9p10p11p12p13p14p15p24p25p27p28p30p31p33p34p35p36p38p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p62p63p64p65p66p67p68p70p72p74p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p111p112p114p115z122p123p125p126p127p128p130p131p132p133p134p1p3p5p6p8p9p10p11p12p13p14p15p17p18p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p127p128p131p132p134p1p9p10p11p12p15p20p21p25p28p30p31p32p33p34p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p57p58p59p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p109p110p111p112p113p114p115p116p118z122p123p124p125p126p127p128p129p130p131p132p133p134,1476741192.483731,214,316022615191.51843
CO2,2029,p5p6p8p9p10p15p16p25p28p29p31p33p43p46p63p66p70p74p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p129p130p131p132p133p134p125p101p105p107p12p18p23p29p34p37p40p41p45p54p55p63p65p72p75p79p81p82p84p85p88p96p97p101p109p116p121z122p20p21p23p24p25p26p28p29p31p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p90p93p94p96p97p98p101p103p105p107p108p109p112p115p116p117z122p126p40p41p43p48p50p51p55p67p70p72p75p82p84p85p90p92p107p111p112p123p1p2p4p5p6p9p10p11p12p13p14p15p24p25p27p28p30p31p33p34p35p36p38p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p70p72p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p111p112p114p115p116z122p123p125p126p127p128p130p131p132p133p134p9p10p11p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p128p131p132p1p9p10p11p12p15p20p21p25p28p30p31p32p33p34p36p37p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p57p58p59p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p109p110p111p112p113p114p115p116p118z122p123p124p125p126p127p128p131p132p133p134,1447857823.100507,226,327215868020.7146
CO2,2032,p5p6p8p9p10p15p16p25p28p29p33p43p46p63p66p70p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p129p130p131p132p133p134p10p125p101p105p12p18p23p29p34p37p40p41p45p54p55p63p65p72p79p81p82p84p85p88p96p97p101p109p116p121z122p20p21p23p24p25p26p28p29p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p90p93p94p96p97p98p101p103p105p107p108p109p112p115p116p117z122p40p41p43p48p50p51p55p67p70p72p82p84p90p107p111p112p123p1p2p4p5p6p9p10p11p12p13p14p15p24p25p27p28p30p31p33p34p35p36p38p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p70p72p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116z122p123p125p126p127p128p130p131p132p133p134p9p10p11p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p128p131p132p9p10p11p12p20p25p28p30p31p34p36p37p38p40p41p42p43p44p45p46p47p48p50p51p52p53p54p57p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p110p111p112p113p114p118z122p123p124p125p126p127p128p131p132p133p134,1552728812.013125,238,369549457259.1237
CO2,2035,p5p6p9p10p15p16p25p28p29p33p43p46p63p66p70p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p129p130p131p132p133p134p10p11p125p52p101p105p12p18p23p29p34p37p40p41p45p54p55p63p65p72p79p81p82p84p85p88p96p97p101p109p116z122p20p21p23p24p25p26p28p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p90p93p94p96p97p98p101p103p105p107p108p109p112p115p116p117z122p40p41p43p48p50p51p55p67p70p72p82p84p90p107p111p112p123p1p2p4p5p6p9p10p11p12p13p14p15p24p25p27p28p30p31p33p34p35p36p38p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p72p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116z122p123p125p126p127p128p130p131p132p133p134p9p10p11p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p128p130p131p132p9p10p11p12p20p25p28p31p34p36p37p38p40p41p42p43p44p45p46p47p50p51p52p53p54p57p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p110p111p112p113p114p118z122p123p124p125p126p127p128p131p132p133p134,1604031370.916732,250,401007842729.18304
CO2,2038,p5p6p9p10p15p16p25p28p29p33p43p46p63p66p70p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p130p131p132p133p134p10p11p125p23p101p105p12p18p23p29p34p37p40p41p45p54p55p63p65p72p79p81p82p84p85p88p96p97p101p109p116z122p20p23p24p25p26p28p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p90p93p94p96p97p98p101p103p105p107p108p109p112p115p116p117z122p40p41p43p48p50p51p55p67p70p72p82p84p90p111p123p1p2p3p4p5p6p9p10p11p12p13p14p15p21p24p25p27p28p29p30p31p33p34p35p36p38p39p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116z122p123p125p126p127p128p130p131p132p133p134p9p10p11p131p132p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p128p130p131p132p133p134p9p10p11p12p20p25p28p31p34p36p37p38p40p41p42p43p44p45p46p47p50p51p52p53p54p57p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p111p112p113p114p118z122p123p124p125p126p127p128p131p132p133p134p26,1633722062.221853,262,428035180302.1255
CO2,2041,p5p6p9p10p15p16p25p28p29p33p43p46p63p66p70p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p130p131p132p133p134p10p11p125p101p105p12p18p23p29p34p37p40p41p45p54p55p63p65p72p79p81p82p84p85p88p96p97p101p109p116z122p20p23p24p25p26p28p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p90p93p94p96p97p98p101p103p105p107p108p109p112p115p116p117z122p40p41p43p50p51p55p67p70p72p82p84p90p111p127p128p1p2p3p4p5p6p9p10p11p12p13p14p15p21p24p25p27p28p29p30p31p33p34p35p36p37p38p39p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116z122p123p125p126p130p131p132p133p134p9p10p11p131p132p133p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p130p131p132p133p134p9p10p11p12p20p25p28p31p34p36p37p38p40p41p42p43p44p45p46p47p50p51p52p53p54p57p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p79p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p111p112p114p118z122p123p124p125p126p131p132p133p134p134p12,1611708802.430434,274,441608211865.9389
CO2,2044,p5p6p9p10p15p16p25p28p29p33p43p46p63p66p70p75p76p77p78p79p80p92p94p96p97p98p101p102p103p111p112p115p117p121z122p123p125p126p127p130p131p132p133p134p10p11p125p89p53p101p105p12p18p23p29p34p37p40p41p45p47p54p55p63p65p72p79p81p82p84p85p88p96p97p101p109p116z122p20p23p24p25p26p28p33p36p37p38p43p45p46p50p52p53p54p56p63p64p65p67p70p72p76p87p89p90p94p96p97p98p101p103p105p107p108p109p112p115p116p117z122p40p41p43p50p51p55p67p70p72p82p84p111p127p128p1p2p3p4p5p6p9p10p11p12p13p14p15p21p24p25p27p28p29p30p31p33p34p35p36p37p38p39p40p41p43p44p45p46p47p48p50p51p53p54p55p56p57p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p74p75p76p77p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117z122p123p125p126p130p131p132p133p134p9p10p11p131p132p1p3p4p5p6p8p9p10p11p12p13p14p15p17p18p20p21p22p23p24p25p26p27p28p30p31p32p33p34p35p36p38p39p40p41p42p43p44p45p46p47p48p50p51p52p53p54p55p56p58p59p60p61p62p63p64p65p66p67p68p69p70p71p72p73p74p75p76p78p79p80p81p82p83p84p85p86p87p88p89p90p91p92p93p94p95p96p97p98p99p100p101p102p103p104p105p106p107p108p109p110p111p112p113p114p115p116p117p118p120z122p123p125p126p130p131p132p133p134p9p10p11p12p20p25p28p31p34p36p37p38p40p41p42p43p44p45p46p47p50p51p52p53p54p57p58p62p63p64p65p66p67p68p69p70p71p72p75p76p77p78p80p81p82p83p84p85p87p89p90p91p92p94p95p96p97p98p99p101p102p103p105p106p107p111p112p114p118z122p123p124p125p126p131p132p133p134p22p27p71,1629029688.580611,286,465902490934.05475
